name,province,region,country
Marques de Griñon,Central Spain,Dominio de Valdepusa,Spain
Big Basin,California,Santa Cruz Mountains,US
Carl Graff,Mosel,,Germany
Casa Santa Vitória,Alentejano,,Portugal
Castello di Gabbiano,Tuscany,Chianti Classico,Italy
Castello Romitorio,Tuscany,Brunello di Montalcino,Italy
Château Vincens,Southwest France,Cahors,France
Chronic Cellars,California,Paso Robles,US
Claiborne & Churchill,California,Edna Valley,US
Collin-Bourisset,Beaujolais,Moulin-à-Vent,France
Conde de Velázquez,Aconcagua Valley,,Chile
Cono Sur,Maipo Valley,,Chile
Domaine Berthoumieu,Southwest France,Madiran,France
Dracaena,California,Paso Robles,US
Duckhorn,California,Napa Valley,US
Dutton-Goldfield,California,Russian River Valley,US
Fritz Haag,Mosel,,Germany
G7,Loncomilla Valley,,Chile
Le Cadeau,Oregon,Willamette Valley,US
Stoneleigh,Marlborough,,New Zealand
Tenuta Peter Sölva & Söhne,Northeastern Italy,Alto Adige,Italy
TerraMater,Maipo Valley,,Chile
Isole e Olena,Tuscany,Chianti Classico,Italy
Kenwood,California,Sonoma Valley,US
La Chablisienne,Burgundy,Chablis,France
Manzoni,California,Santa Lucia Highlands,US
McIntyre Vineyards,California,Arroyo Seco,US
Abbadia Ardenga,Tuscany,Brunello di Montalcino,Italy
Alamos,Other,Salta,Argentina
Anaba,California,Sonoma Coast,US
Apaltagua,Colchagua Valley,,Chile
Harrington,California,Anderson Valley,US
Abbazia Santa Anastasia,Sicily & Sardinia,Sicilia,Italy
Viña Bisquertt,Colchagua Valley,,Chile
Emiliana,Casablanca Valley,,Chile
Fattoria Alois,Southern Italy,Campania,Italy
Aldegheri,Veneto,Rosso del Veronese,Italy
Bertrand Ambroise,Burgundy,St.-Romain,France
Campomaggio,Tuscany,Chianti Classico,Italy
Carpineto,Tuscany,Vino Nobile di Montepulciano,Italy
Cesani,Tuscany,Vernaccia di San Gimignano,Italy
Spier,Western Cape,,South Africa
Sequum,California,Napa Valley,US
Sierra Starr,California,Nevada County,US
Tenuta di Sesta,Tuscany,Brunello di Montalcino,Italy
Terlan,Northeastern Italy,Alto Adige,Italy
Yatir,Judean Hills,,Israel
Adega Cooperativa de Borba,Alentejo,,Portugal
J. Lohr,California,Paso Robles,US
J. Lohr,California,Arroyo Seco,US
Courtney Benham,California,Napa Valley,US
Del Carlo Winery,California,Dry Creek Valley,US
Delaire Graff,Coastal Region,,South Africa
Domaine St Pierre,Rhône Valley,Côtes du Rhône,France
Eikendal,Western Cape,,South Africa
Famille Perrin,Rhône Valley,Vacqueyras,France
Matarromera,Northern Spain,Rueda,Spain
MCV,California,Paso Robles,US
Mounts,California,Dry Creek Valley,US
Or Haganuz,Galilee,,Israel
Podere Scopetone,Tuscany,Brunello di Montalcino,Italy
Quinta de Foz de Arouce,Beira Atlantico,,Portugal
Robert Mondavi,California,Napa Valley,US
Samuel Tinon,Tokaj,,Hungary
Sixteen by Twenty,California,Sonoma Coast,US
St. Pauls,Northeastern Italy,Alto Adige,Italy
Talenti,Tuscany,Brunello di Montalcino,Italy
Mendel,Mendoza Province,Luján de Cuyo,Argentina
Oldenburg,Stellenbosch,,South Africa
Wagner,New York,Finger Lakes,US
Treleaven,New York,Cayuga Lake,US
Benessere,California,Napa Valley,US
Bloomer Creek,New York,Finger Lakes,US
Andean Sky,Mendoza Province,Mendoza,Argentina
Angove's,South Australia,South Australia,Australia
Silvan Ridge,Oregon,Willamette Valley,US
Talamonti,Central Italy,Montepulciano d'Abruzzo,Italy
Testarossa,California,Santa Barbara County,US
Meeker,California,Diamond Mountain District,US
Consorzio Vini Tipici di San Marino,Central Italy,San Marino,Italy
D'Arenberg,South Australia,McLaren Vale,Australia
Dogwood,California,Mendocino,US
Domaine du Tariquet,Southwest France,Vin de Pays des Côtes de Gascogne,France
Falcor,California,Napa Valley,US
Hayman & Hill,California,Russian River Valley,US
Hermann J. Wiemer,New York,Finger Lakes,US
J. & F. Lurton,Northern Spain,Vino de la Tierra de Castilla y León,Spain
Finca Las Moras,Other,San Juan,Argentina
Long Flat,South Australia,Adelaide Hills,Australia
Work,California,Sonoma Mountain,US
Amity,Oregon,Willamette Valley,US
Autumn Hill,Virginia,Monticello,US
Blue Rock,California,Alexander Valley,US
Cherry Hill,Oregon,Willamette Valley,US
Cloud 9,California,Amador County,US
Cueva de las Manos,Mendoza Province,Luján de Cuyo,Argentina
David Fulton,California,St. Helena,US
Esterlina,California,Cole Ranch,US
Goats do Roam Wine Co.,Coastal Region,,South Africa
Graham Beck,Coastal Region,,South Africa
Hartenberg,Stellenbosch,,South Africa
Vignobles 46N118,Southwest France,Cahors,France
Willamette Valley Vineyards,Oregon,Willamette Valley,US
Algodon,Mendoza Province,,Argentina
Beaver Creek,California,Napa Valley,US
Byron,California,Santa Maria Valley,US
Jardin,Stellenbosch,,South Africa
Kaiken,Mendoza Province,Mendoza,Argentina
Lungarotti,Central Italy,Torgiano,Italy
Marchesi Fumanelli,Veneto,Veneto,Italy
Mariell,Leithaberg,,Austria
Livio Felluga,Northeastern Italy,Colli Orientali del Friuli,Italy
My Big Fat Greek Wine,Santorini,,Greece
Nals Margreid,Northeastern Italy,Alto Adige,Italy
O. Fournier,Mendoza Province,Uco Valley,Argentina
Pico Maccario,Piedmont,Monferrato,Italy
Sottano,Mendoza Province,Mendoza,Argentina
St. Francis,California,Sonoma County,US
Trailhead,California,Napa Valley,US
Erath,Oregon,Willamette Valley,US
Franz Haas,Northeastern Italy,Alto Adige,Italy
Forstreiter,Kremstal,,Austria
Cambria,California,Santa Maria Valley,US
I Giusti e Zanza,Tuscany,Toscana,Italy
J. Christopher,Oregon,Dundee Hills,US
Viña Cobos,Mendoza Province,Perdriel,Argentina
Salomon-Undhof,Kremstal,,Austria
Talley,California,Arroyo Grande Valley,US
Acústic,Catalonia,Montsant,Spain
Josef Schmid,Kremstal,,Austria
Parallel,California,Napa Valley,US
Château Lafon-Rochet,Bordeaux,Saint-Estèphe,France
Dionigi,Central Italy,Sagrantino di Montefalco,Italy
Domaine Daniel Dugois,France Other,Arbois,France
