name,province,region,country
Ravoire et Fils,Provence,Coteaux d'Aix-en-Provence,France
Tertulia,Washington,Columbia Valley (WA),US
Il Roncal,Northeastern Italy,Colli Orientali del Friuli,Italy
Stylo,Northern Spain,Calatayud,Spain
Atalon,California,Napa Valley,US
Cantina Santadi,Sicily & Sardinia,Vermentino di Sardegna,Italy
Champ de Rêves,California,Anderson Valley,US
Château Gassier,Provence,Côtes de Provence,France
Chateau La Calisse,Provence,Coteaux Varois,France
Château Réal Martin,Provence,Côtes de Provence,France
Chessman,California,Lodi,US
Conte d'Attimis-Maniago,Northeastern Italy,Colli Orientali del Friuli,Italy
Foxen 7200,California,Happy Canyon of Santa Barbara,US
Kurt Angerer,Niederösterreich,,Austria
Michele Satta,Tuscany,Toscana,Italy
Reaper,California,Santa Ynez Valley,US
Refugio Ranch,California,Santa Ynez Valley,US
Seifried,Nelson,,New Zealand
Sherwood Estate,Waipara Valley,,New Zealand
Sonoma-Cutrer,California,Russian River Valley,US
Ashan,Washington,Columbia Gorge (WA),US
Flying Dreams,Washington,Columbia Valley (WA),US
Greenhough,Nelson,,New Zealand
Hazlitt 1852 Vineyards,New York,Finger Lakes,US
Hollen Family Vineyards,Mendoza Province,Mendoza,Argentina
Giesen,Marlborough,,New Zealand
Groot Constantia,Constantia,,South Africa
Gualdo del Re,Tuscany,Val di Cornia Suvereto,Italy
Cambridge Road,Martinborough,,New Zealand
Cappella Sant'Andrea,Tuscany,Vernaccia di San Gimignano,Italy
Castello della Sala,Central Italy,Orvieto Classico Superiore,Italy
Colle Spinello,Tuscany,Morellino di Scansano,Italy
Commanderie de Peyrassol,Provence,Côtes de Provence,France
Seven Deadly Zins,California,Lodi,US
Truett Hurst,California,Paso Robles,US
Henri Bourgeois,Loire Valley,Vin de Pays du Val de Loire,France
Hooker,California,Napa Valley,US
Lemos & Van Zeller,Douro,,Portugal
Leonard Kreusch,Rheinhessen,,Germany
Alma Andina,Mendoza Province,Mendoza,Argentina
Bello Family Vineyards,California,Carneros,US
Chavet Fils,Loire Valley,Menetou-Salon,France
Arizona Stronghold,Arizona,Cochise County,US
Domaine Laurier,California,California,US
Hartley-Ostini,California,Santa Barbara County,US
CrossKeys,Virginia,Virginia,US
Poema,Catalonia,Cava,Spain
Rovisco Garcia,Alentejano,,Portugal
San Simeon,California,Monterey,US
V. Sattui,California,Russian River Valley,US
Valiano,Tuscany,Chianti Classico,Italy
Villagrán,Andalucia,Vino de la Tierra Altiplano de Sierra Nevada,Spain
Herdade da Gâmbia,Península de Setúbal,,Portugal
Ideology Cellars,California,Napa Valley,US
Basilicus,Tokaj,,Hungary
Björnson,Oregon,Eola-Amity Hills,US
Bodega Chacra,Other,Patagonia,Argentina
Bret Brothers,Burgundy,Mâcon-Villages,France
Casa do Valle,Vinho Verde,,Portugal
Casca Wines,Douro,,Portugal
Claudio Alario,Piedmont,Barolo,Italy
Clos Venturi,France Other,Vin de France,France
Danieli,Kakheti,,Georgia
Domaine Carrette,Burgundy,Saint-Véran,France
Domaine Edmond Cornu,Burgundy,Chorey-lès-Beaune,France
Gehricke,California,Los Carneros,US
Gian Piero Marrone,Piedmont,Barbaresco,Italy
TintoNegro,Mendoza Province,Mendoza,Argentina
Trenel Fils,Burgundy,Mâcon-Villages,France
Troon,Oregon,Applegate Valley,US
Willful,Oregon,Willamette Valley,US
Wines & Winemakers,Bairrada,,Portugal
Z. Alexander Brown,California,North Coast,US
SignoSeis,Mendoza Province,Valle de Uco,Argentina
50 Harvests,California,Napa Valley,US
Bodega Noemía de Patagonia,Other,Patagonia,Argentina
Labouré-Roi,Burgundy,Chablis,France
Le Colture,Veneto,Conegliano Valdobbiadene Prosecco Superiore,Italy
Morgan,California,Monterey,US
Ravoire et Fils,Provence,Bandol,France
Speri,Veneto,Recioto della Valpolicella Classico,Italy
Eugenio Collavini,Northeastern Italy,Friuli,Italy
Fonseca,Port,,Portugal
Gary Farrell,California,Dry Creek Valley,US
Virage,California,Napa Valley,US
Vista Alegre,Port,,Portugal
W. & J. Graham's,Port,,Portugal
Zardetto,Veneto,Conegliano Valdobbiadene Prosecco Superiore,Italy
Bersi Serlini,Lombardy,Franciacorta,Italy
Fratelli Muratori,Lombardy,Franciacorta,Italy
Lantieri de Paratico,Lombardy,Franciacorta,Italy
Annefield Vineyards,Virginia,Virginia,US
Besserat de Bellefon,Champagne,Champagne,France
Natale Verga,Central Italy,Montepulciano d'Abruzzo,Italy
Longoria,California,Sta. Rita Hills,US
Ludwig,California,Santa Lucia Highlands,US
Marqués de Elciego,Northern Spain,Rioja,Spain
Matetic,Casablanca Valley,,Chile
Passion Vineyards,Washington,Columbia Valley (WA),US
Peters Family,California,Sonoma Coast,US
Pure Cru,California,Napa Valley,US
Rios de Chile,Casablanca Valley,,Chile
Saladini Pilastri,Central Italy,Rosso Piceno,Italy
San Lorenzo,Central Italy,Montepulciano d'Abruzzo,Italy
Silver Buckle,California,Lodi,US
Vistamar,Central Valley,,Chile
Wy'East Vineyards,Oregon,Columbia Gorge (OR),US
Zero One Vintners,Washington,Columbia Valley (WA),US
Caliterra,Leyda Valley,,Chile
Captûre,California,Pine Mountain-Cloverdale Peak,US
Château Léoube,Provence,Côtes de Provence,France
Domaine de la Sanglière,Provence,Côtes de Provence,France
Ecco Domani,Northeastern Italy,Delle Venezie,Italy
Grands Terroirs de France,Bordeaux,Saint-Émilion,France
Tenute Silvio Nardi,Tuscany,Brunello di Montalcino,Italy
Neumeister,Südoststeiermark,,Austria
Tinhof,Burgenland,,Austria
Astrales,Northern Spain,Ribera del Duero,Spain
Fess Parker,California,Santa Maria Valley,US
Giovanni Chiappini,Tuscany,Bolgheri Superiore,Italy
Arndorfer,Kamptal,,Austria
Clos du Marquis,Bordeaux,Saint-Julien,France
Duckhorn,California,Howell Mountain,US
Eichinger,Kamptal,,Austria
Gruber Röschitz,Weinviertel,,Austria
Hager Matthias,Niederösterreich,,Austria
Salvioni,Tuscany,Brunello di Montalcino,Italy
Stadlmann,Thermenregion,,Austria
Ingrid Groiss,Niederösterreich,,Austria
Creación,Maule Valley,,Chile
Don Bernardino,Northern Spain,Valdeorras,Spain
Grati,Tuscany,Toscana,Italy
Pata Negra,Northern Spain,Ribera del Duero,Spain
Cristiari,Catalonia,Costers del Segre,Spain
Ripken,California,Lodi,US
Camelot,California,California,US
Dominio del Viento,Northern Spain,Rioja,Spain
François Lurton,Northern Spain,Rueda,Spain
Alto Los Romeros,Central Valley,,Chile
Zerran,Catalonia,Montsant,Spain
Gresser,Oregon,Willamette Valley,US
Insomnia,California,California,US
Santa Alba,Maule Valley,,Chile
Scratchpad,California,Central Coast,US
Terrai,Northern Spain,Cariñena,Spain
Trencalòs,Central Spain,Vino de la Tierra de Castilla,Spain
Loosen Bros.,Mosel,,Germany
Mer Soleil,California,Santa Lucia Highlands,US
Novy,California,Sonoma Mountain,US
Spice Route,Swartland,,South Africa
Château Eugénie,Southwest France,Cahors,France
Château Jolys,Southwest France,Jurançon,France
Château Ponzac,Southwest France,Cahors,France
Gouguenheim Winery,Mendoza Province,Mendoza,Argentina
Henri Milan,Provence,Les Baux de Provence,France
Illahe,Oregon,Willamette Valley,US
Jean-Luc Baldès,Southwest France,Cahors,France
Laurenz V.,Kamptal,,Austria
Martino,Mendoza Province,Agrelo,Argentina
McCay Cellars,California,Russian River Valley,US
Novy,California,Bennett Valley,US
Agricola Querciabella,Tuscany,Toscana,Italy
Benvenuto de la Serna,Mendoza Province,Uco Valley,Argentina
Morgenhof,Simonsberg-Stellenbosch,,South Africa
Kumeu River,Marlborough,,New Zealand
Fazi Battaglia,Central Italy,Verdicchio dei Castelli di Jesi Classico Superiore,Italy
Miner,California,Santa Lucia Highlands,US
Monte del Frá,Veneto,Custoza Superiore,Italy
Rosenblum,California,Yolo County,US
Andretti,California,North Coast,US
Aldegheri,Veneto,Veronese,Italy
Girlan,Northeastern Italy,Alto Adige,Italy
Carl Ehrhard,Rheingau,,Germany
Madrigal,California,Mendocino,US
Monte Zovo,Veneto,Valpolicella Superiore Ripasso,Italy
Odfjell,Lontué Valley,,Chile
Pellegrini Vineyards,New York,North Fork of Long Island,US
Prinz Salm,Nahe,,Germany
Rex Hill,Oregon,Chehalem Mountains,US
Rooster Hill,New York,Finger Lakes,US
Root:1,Casablanca Valley,,Chile
Salvatore Principe,California,Lodi,US
Sartori,Veneto,Valpolicella Superiore,Italy
Sheldrake Point,New York,Finger Lakes,US
Corte Lenguin,Veneto,Amarone della Valpolicella Classico,Italy
Corte Sant' Alda,Veneto,Valpolicella Superiore Ripasso,Italy
Educated Guess,California,Napa Valley,US
Holman Ranch,California,Carmel Valley,US
Zanoni,Veneto,Amarone della Valpolicella,Italy
Arduini,Veneto,Valpolicella Classico Superiore Ripasso,Italy
Chapel Hill,South Australia,McLaren Vale,Australia
Château de Fuissé,Burgundy,Pouilly-Fuissé,France
Hidalgo,Andalucia,Jerez,Spain
Karly,California,Amador County,US
Henschke,South Australia,Eden Valley,Australia
Bouchard Père & Fils,Burgundy,Chassagne-Montrachet,France
Cantina Giardino,Southern Italy,Irpinia,Italy
Mastroberardino,Southern Italy,Fiano di Avellino,Italy
Nickel & Nickel,California,Napa Valley,US
Gary Farrell,California,Sonoma County,US
Giuseppe Apicella,Southern Italy,Campania,Italy
Librandi,Southern Italy,Val di Neto,Italy
Louis Latour,Burgundy,Puligny-Montrachet,France
Apolloni,Oregon,Willamette Valley,US
CVNE,Northern Spain,Rioja,Spain
Foppiano,California,Russian River Valley,US
GMG Vinicola,Southern Italy,Taurasi,Italy
Hans Moser,Burgenland,,Austria
Oriol Rossell,Catalonia,Cava,Spain
Retour,Oregon,Willamette Valley,US
Roux Père et Fils,Burgundy,Meursault,France
Türk,Kremstal,,Austria
Ancient Oak Cellars,California,Sonoma Mountain,US
Broken Earth,California,Paso Robles,US
Township 7,British Columbia,Okanagan Valley,Canada
Château de Chatelard,Beaujolais,Moulin-à-Vent,France
Cougar,California,Temecula Valley,US
Donna Olimpia 1898,Tuscany,Bolgheri,Italy
Dusted Valley,Washington,Wahluke Slope,US
Ehlers Estate,California,St. Helena,US
Foley,California,Sta. Rita Hills,US
Gernot and Heike Heinrich,Leithaberg,,Austria
Chateau de Manissy,Rhône Valley,Tavel,France
Murphy-Goode,California,North Coast,US
Poggio al Tesoro,Tuscany,Bolgheri Superiore,Italy
Rainer Wess,Kremstal,,Austria
Ryan Cochrane,California,Sta. Rita Hills,US
Telaya,Idaho,,US
Thirty-Seven Wines,California,Sonoma Coast,US
Jax,California,Napa Valley,US
Milbrandt,Washington,Columbia Valley (WA),US
Angelo Negro & Figli,Piedmont,Roero,Italy
Damilano,Piedmont,Barbera d'Asti,Italy
Firefly Night,California,Santa Lucia Highlands,US
Louis Barthélémy,Champagne,Champagne,France
Mailly Grand Cru,Champagne,Champagne,France
Pioiero,Piedmont,Nebbiolo d'Alba,Italy
Citille di Sopra,Tuscany,Brunello di Montalcino,Italy
Reininger,Washington,Walla Walla Valley (WA),US
Tegernseerhof,Wachau,,Austria
Jäger,Wachau,,Austria
Kerloo,Washington,Horse Heaven Hills,US
La Poderina,Tuscany,Brunello di Montalcino,Italy
Le Macchiole,Tuscany,Toscana,Italy
Château Beaumont,Bordeaux,Haut-Médoc,France
Château Clément-Pichon,Bordeaux,Haut-Médoc,France
Château Larose Perganson,Bordeaux,Haut-Médoc,France
Château Montrose,Bordeaux,Saint-Estèphe,France
Bacigalupi,California,Russian River Valley,US
Boatique,California,Big Valley District-Lake County,US
Brooklyn West,California,Santa Ynez Valley,US
Vietti,Piedmont,Barolo,Italy
Herzog,California,Alexander Valley,US
Château de Brigue,Provence,Côtes de Provence,France
Davis Family,California,Rockpile,US
Domaine de la Bégude,Provence,Bandol,France
Domaine de la Vallongue,Provence,Les Baux de Provence,France
Domaines Ott,Provence,Côtes de Provence,France
Elvio Cogno,Piedmont,Langhe,Italy
Fallbrook,California,South Coast,US
Frank Family,California,Napa Valley,US
Oak Farm,California,Lodi,US
Paraiso Vineyards,California,Santa Lucia Highlands,US
Salomon & Andrew,Central Otago,,New Zealand
Trefethen,California,Oak Knoll District,US
Lincourt,California,Sta. Rita Hills,US
Patz & Hall,California,Sonoma Coast,US
Rotta,California,Paso Robles,US
Cebada,California,Santa Ynez Valley,US
Davies,California,Anderson Valley,US
Davies,California,Fort Ross-Seaview,US
Fiddlehead,California,Santa Ynez Valley,US
Landmark,California,Santa Lucia Highlands,US
Last Light,California,San Luis Obispo County,US
Monte Faustino,Veneto,Amarone della Valpolicella Classico,Italy
Pieropan,Veneto,Amarone della Valpolicella,Italy
Quinta Cruz,California,San Antonio Valley,US
Raymond,California,Diamond Mountain District,US
Le Petit Cochonnet,France Other,Vin de France,France
L'original French Kiss,France Other,Vin de France,France
Café du Midi,France Other,Vin de France,France
Château Saint Baillon,Provence,Côtes de Provence,France
Voiturette,France Other,Vin de France,France
Fat Gaucho,Mendoza Province,Mendoza,Argentina
Bodega Cuarto Dominio,Mendoza Province,Mendoza,Argentina
Maison de la Villette,France Other,Vin de France,France
Belle Made For You,France Other,Vin de France,France
Castle Rock,California,Los Carneros,US
La Vieille Ferme,France Other,Vin de France,France
Le Pépin,France Other,Vin de France,France
Romantic,France Other,Vin de France,France
Arzuaga,Northern Spain,Ribera del Duero,Spain
Region 1,Mendoza Province,Mendoza,Argentina
Château de Saint-Martin,Provence,Côtes de Provence,France
Housley's Century Oak,California,Napa Valley,US
Patriarche Père et Fils,France Other,Vin de France,France
Tedeschi Family,California,Napa Valley,US
Bacalhôa Wines of Portugal,Península de Setúbal,,Portugal
Nuiton-Beaunoy,Burgundy,Bourgogne,France
Quevedo,Douro,,Portugal
Real Compañia de Vinos,Spain Other,Spain,Spain
Quinta do Portal,Port,,Portugal
Domaine Chatelain,Burgundy,Petit Chablis,France
Epilogo,Central Spain,La Mancha,Spain
Finca Flichman,Mendoza Province,Mendoza,Argentina
Santa Ana,Mendoza Province,Mendoza,Argentina
Aveleda,Vinho Espumante,,Portugal
Manuel Olivier,Burgundy,Bourgogne,France
Caves Aliança,Alentejano,,Portugal
Cave de Kientzheim-Kaysersberg,Alsace,Crémant d'Alsace,France
Quinta Vale do Armo,Tejo,,Portugal
Bodega Atamisque,Mendoza Province,Tupungato,Argentina
Juan Gil,Levante,Jumilla,Spain
Mr. Riggs,South Australia,South Australia,Australia
Quinta do Pôpa,Douro,,Portugal
Reyes,California,Sierra Pelona Valley,US
Russian Ridge,California,Santa Cruz Mountains,US
Tercero,California,Santa Ynez Valley,US
Valentina Cubi,Veneto,Valpolicella,Italy
Windy Canyon,Washington,Walla Walla Valley (WA),US
Andrew Rich,Washington,Columbia Valley (WA),US
Beringer,California,California,US
Black's Station,California,Yolo County,US
Boas Quintas,Dão,,Portugal
Cave Geisse,Pinto Bandeira,,Brazil
Château Bourdieu,Bordeaux,Blaye Côtes de Bordeaux,France
Château de Cranne,Bordeaux,Côtes de Bordeaux,France
Château de Cranne,Bordeaux,Cadillac Côtes de Bordeaux,France
Château de Lagarde,Bordeaux,Bordeaux Supérieur,France
Château du Cèdre,France Other,Vin de Liqueur,France
Château Godard Bellevue,Bordeaux,Francs Côtes de Bordeaux,France
Château Haut-Rian,Bordeaux,Côtes de Bordeaux,France
Château Landereau,Bordeaux,Bordeaux Supérieur,France
Tenuta Cavalier Pepe,Southern Italy,Irpinia,Italy
Teruzzi & Puthod,Tuscany,Vernaccia di San Gimignano,Italy
Tin Barn,California,Sonoma Coast,US
Triennes,France Other,Mediterranée,France
Vignerons des Terres Secrètes,Burgundy,Pouilly-Fuissé,France
Winter's Hill,Oregon,Dundee Hills,US
Highway 12,California,Sonoma County,US
Judd's Hill,California,Napa Valley,US
Keating,California,Dry Creek Valley,US
Labouré-Roi,Burgundy,Savigny-lès-Beaune,France
Maquis,Colchagua Valley,,Chile
Nicora,California,Central Coast,US
Ernest & Julio Gallo,California,Russian River Valley,US
Florent Descombe,Burgundy,Pouilly-Fuissé,France
Ghost Pines,California,Sonoma County-Napa County,US
Giornata,California,San Luis Obispo,US
Gotas de Mar,Galicia,Rías Baixas,Spain
Goyette,California,Sonoma County,US
Hunt Cellars,California,Monterey County,US
Dr. Volkmar,Rheinhessen,,Germany
VinEcol,Mendoza Province,Mendoza,Argentina
Origin,Mendoza Province,Mendoza,Argentina
Belle Vallée,Oregon,Willamette Valley,US
Foursight,California,Anderson Valley,US
Ambiente,Mendoza Province,Mendoza,Argentina
Azur,California,Rutherford,US
Airlie,Oregon,Willamette Valley,US
Bodega Vistandes,Other,Famatina Valley,Argentina
2 Copas,Mendoza Province,Mendoza,Argentina
Espuela del Gaucho,Mendoza Province,Mendoza,Argentina
Além,Alentejano,,Portugal
Bodega Carmine Granata,Mendoza Province,Mendoza,Argentina
Cruz Alta,Mendoza Province,Mendoza,Argentina
Ricardo Santos,Mendoza Province,Mendoza,Argentina
Alma del Sur,Mendoza Province,Mendoza,Argentina
Domaine Leflaive,Burgundy,Bâtard-Montrachet,France
Domaine Leflaive,Burgundy,Chevalier-Montrachet,France
Copain Wines,California,Anderson Valley,US
Jigar,California,Russian River Valley,US
Judeka,Sicily & Sardinia,Vittoria,Italy
Madrigal,California,Atlas Peak,US
OS Winery,Washington,Yakima Valley,US
Re Manfredi,Southern Italy,Aglianico del Vulture,Italy
Ross Andrew,Washington,Columbia Valley (WA),US
Breathless,California,Sonoma County,US
Burnt Bridge,Washington,Columbia Valley (WA),US
Château de la Cour,Bordeaux,Saint-Émilion,France
Château Fourcas-Borie,Bordeaux,Listrac-Médoc,France
Château Haut Breton Larigaudière,Bordeaux,Margaux,France
Château Haut-Gelineau,Bordeaux,Côtes de Bourg,France
Château Lanbersac,Bordeaux,Puisseguin Saint-Émilion,France
Château Lapinesse,Bordeaux,Graves,France
Château le Calvaire,Bordeaux,Bordeaux Supérieur,France
Château Marquis de Terme,Bordeaux,Margaux,France
Château Saint-Corbian,Bordeaux,Saint-Estèphe,France
3Fools,Oregon,Willamette Valley,US
Barton & Guestier,Bordeaux,Bordeaux,France
Byron,California,Santa Barbara County,US
Domaine de Pellehaut,Southwest France,Vin de Pays des Côtes de Gascogne,France
Las Lomas,Maule Valley,,Chile
Tamaya,Limarí Valley,,Chile
Taj,California,Los Carneros,US
Little Stone Vineyard,California,Napa Valley,US
Barton & Guestier,Burgundy,Mâcon-Villages,France
Barton & Guestier,Bordeaux,Sauternes,France
Château Bellevue,Bordeaux,Bordeaux,France
Château Denisiane,Bordeaux,Bordeaux,France
Elios,Peloponnese,,Greece
flipflop,California,California,US
Grotta del Sole,Southern Italy,Asprinio di Aversa,Italy
Oberon,California,Napa Valley,US
Priest Ranch,California,Napa Valley,US
Somerston,California,Napa Valley,US
Terredora,Southern Italy,Irpinia,Italy
Bigi,Central Italy,Orvieto Classico,Italy
Faiveley,Burgundy,Bourgogne,France
Feudo di Gulfa,Sicily & Sardinia,Etna,Italy
Feudo Maccari,Sicily & Sardinia,Sicilia,Italy
Feudo Principi di Butera,Sicily & Sardinia,Sicilia,Italy
Noble Vines,California,Lodi,US
Lismore Range,Australia Other,South Eastern Australia,Australia
Marchesi De Gregorio,Sicily & Sardinia,Terre Siciliane,Italy
Viña Casablanca,Maipo Valley,,Chile
Hubert Meyer,Alsace,Alsace,France
Cantine Rallo,Sicily & Sardinia,Sicilia,Italy
Castellucci Miano,Sicily & Sardinia,Sicilia,Italy
Tenute Girolamo,Southern Italy,Puglia,Italy
a-non-ah-mus,California,Santa Barbara County,US
Avia,Primorska,,Slovenia
Barone Sergio,Sicily & Sardinia,Terre Siciliane,Italy
Cantine Valenti,Sicily & Sardinia,Etna,Italy
Celler Bàrbara Forés,Catalonia,Terra Alta,Spain
Chanson Père et Fils,Burgundy,Chablis,France
Château de Mirande,Burgundy,Mâcon-Villages,France
Château Vartely,Moldova,,Moldova
Le Fraghe,Veneto,Bardolino,Italy
MacMurray Estate Vineyards,California,Russian River Valley,US
Marietta Cellars,California,California,US
Masi,Veneto,Veronese,Italy
Mira,California,Napa Valley,US
Narbona,Uruguay,,Uruguay
Newton,California,Spring Mountain District,US
Offley,Port,,Portugal
Ouled Thaleb,Zenata,,Morocco
Podere Forte,Tuscany,Orcia,Italy
Point & Line,California,Santa Maria Valley,US
Speri,Veneto,Valpolicella Classico Superiore,Italy
Stolpman,California,Ballard Canyon,US
Tamber Bey,California,Sonoma Coast,US
Tantara,California,Santa Lucia Highlands,US
Tenute Lunelli,Central Italy,Montefalco Rosso,Italy
Arrowood,California,Knights Valley,US
Bel Vino,California,California,US
Bitner,Idaho,,US
Bollinger,Champagne,Champagne,France
Torii Mor,Oregon,Willamette Valley,US
Evesham Wood,Oregon,Willamette Valley,US
De Saint Gall,Champagne,Champagne,France
Iron Horse,California,Sonoma County,US
Bear Creek,Oregon,Rogue Valley,US
Heritage Road,South Australia,Limestone Coast,Australia
Robert Hunter,California,Sonoma Valley,US
Stonecroft,Oregon,Willamette Valley,US
Andrew Rich,Oregon,Willamette Valley,US
Argyle,Oregon,Willamette Valley,US
Calvet,Bordeaux,Bordeaux Blanc,France
Tualatin Estate,Oregon,Willamette Valley,US
Cristom,Oregon,Willamette Valley,US
Heritage Road,South Australia,South Australia,Australia
Cooper Mountain,Oregon,Willamette Valley,US
Fetzer,California,Mendocino County,US
Elk Cove,Oregon,Willamette Valley,US
Adelsheim,Oregon,Willamette Valley,US
Moët & Chandon,Champagne,Champagne,France
Valley of the Moon,California,Sonoma Valley,US
Principe Corsini,Tuscany,Chianti Classico,Italy
Abeja,Washington,Walla Walla Valley (WA),US
Ancestry,Washington,Columbia Gorge (WA),US
Bedell,New York,North Fork of Long Island,US
Bodega San Pedro Regalado,Northern Spain,Ribera del Duero,Spain
Cantalici L'Antica Fornace di Ridolfo,Tuscany,Chianti Classico,Italy
Cedarville Vineyard,California,Fair Play,US
Slingshot,California,Napa Valley,US
Tenuta di Arceno,Tuscany,Chianti Classico,Italy
Terras Gauda,Galicia,Rías Baixas,Spain
Toscolo,Tuscany,Chianti Classico,Italy
Direder,Wagram,,Austria
Fattoria Il Lago,Tuscany,Chianti Rufina,Italy
Fattoria Valacchi,Tuscany,Chianti,Italy
Foundry Vineyards,Washington,Columbia Valley (WA),US
Golan Heights Winery,Galilee,,Israel
Ruby Hill Winery,California,Livermore Valley,US
Rule of Three,Mendoza Province,Uco Valley,Argentina
Sonoma River,California,Sonoma County,US
Tilia,Other,Salta,Argentina
Watermill,Oregon,Walla Walla Valley (OR),US
Vigin,Piedmont,Barbaresco,Italy
Arbéta,Piedmont,Barolo,Italy
Aveleda,Minho,,Portugal
Cooperativa Agricola de Santo Isidro de Pegoes,Península de Setúbal,,Portugal
Domaine Laroche,Burgundy,Chablis,France
Domaines Devillard,Burgundy,Mâcon-Azé,France
Frank Family,California,Chiles Valley,US
Giuseppe Gabbas,Sicily & Sardinia,Cannonau di Sardegna,Italy
Vins des Personnets,Burgundy,Viré-Clessé,France
Wedell Cellars,California,Sta. Rita Hills,US
12 Linajes,Northern Spain,Ribera del Duero,Spain
Anier,Northern Spain,Ribera del Duero,Spain
Psagot,Judean Hills,,Israel
18401 Cellars,Oregon,Walla Walla Valley (OR),US
Angela Estate,Oregon,Willamette Valley,US
Arista,California,Russian River Valley,US
Ascension Cellars,California,Paso Robles,US
Aubry,Champagne,Champagne,France
Bethel Heights,Oregon,Willamette Valley,US
Brave & Maiden,California,Santa Ynez Valley,US
Cartuxa,Alentejo,,Portugal
William Hill Estate,California,Napa Valley,US
Domaine Chenevières,Burgundy,Chablis,France
Domaine des Baumard,Loire Valley,Quarts de Chaume,France
Oso Libre,California,Paso Robles,US
Panther Creek,Oregon,Willamette Valley,US
Proulx,California,Central Coast,US
Raymond,California,Rutherford,US
Artezin,California,Mendocino County,US
Château Lynch-Bages,Bordeaux,Bordeaux Blanc,France
Pascal Doquet,Champagne,Champagne,France
Taltarni,Victoria,Pyrenees,Australia
Mas des Bressades,Rhône Valley,Costières de Nîmes,France
Le Colture,Veneto,Prosecco Superiore di Cartizze,Italy
Brassfield,California,High Valley,US
Château du Seuil,Bordeaux,Graves,France
Cinnabar,California,Santa Cruz Mountains,US
Boedecker Cellars,Oregon,Willamette Valley,US
Daedalus Cellars,Oregon,Dundee Hills,US
Rimauresq,Provence,Côtes de Provence,France
Spicy Vines,California,Russian River Valley,US
T'Jara,New York,North Fork of Long Island,US
Urbina,Northern Spain,Rioja,Spain
Villa di Corlo,Central Italy,Lambrusco Grasparossa di Castelvetro,Italy
Viña Mayor,Northern Spain,Ribera del Duero,Spain
L. Tramier & Fils,Beaujolais,Saint-Amour,France
Le Grand Noir,Languedoc-Roussillon,Pays d'Oc,France
Les Domaines Auriol,Languedoc-Roussillon,Pays d'Oc,France
Lorenzi Estate,California,Temecula Valley,US
Mar de Envero,Galicia,Rías Baixas,Spain
Marqués de la Concordia,Northern Spain,Rioja,Spain
Martin Ranch,California,Arroyo Seco,US
Martinsancho,Northern Spain,Rueda,Spain
Medici Ermete,Central Italy,,Italy
Midnight,California,North Coast,US
Muddy Boot,California,California,US
Nada Fiorenzo,Piedmont,Barbaresco,Italy
Pascal Rollet,Burgundy,Saint-Véran,France
Pascal Rollet,Burgundy,Pouilly-Fuissé,France
Domaine Sangouard-Guyot,Burgundy,Saint-Véran,France
Grande River,Colorado,Grand Valley,US
Herdade de São Miguel,Alentejano,,Portugal
La Chablisienne,Burgundy,Petit Chablis,France
Lyeth,California,California,US
François Lurton,Mendoza Province,Mendoza,Argentina
Aveleda,Douro,,Portugal
Canyon Wind,Colorado,Grand Valley,US
Casa de Vila Verde,Vinho Verde,,Portugal
Sno Road,Oregon,Columbia Valley (OR),US
Summit Lake,California,Howell Mountain,US
J. Moreau & Fils,Burgundy,Chablis,France
V. Sattui,California,Alexander Valley,US
Vignerons des Terres Secrètes,Burgundy,Mâcon-Villages,France
Compilation,California,Rutherford,US
Custard,California,Sonoma Valley,US
Dão Sul,Dão,,Portugal
Domaine Michel,Burgundy,Mâcon-Villages,France
Baron Widmann,Northeastern Italy,Alto Adige,Italy
Cantina Produttori Cortaccia,Northeastern Italy,Alto Adige,Italy
Clos du Val,California,Stags Leap District,US
Colene Clemens,Oregon,Willamette Valley,US
Domaine de l'Idylle,France Other,Roussette de Savoie,France
Domaine du Haut Bourg,Loire Valley,Muscadet Côtes de Grandlieu,France
Flaherty,Aconcagua Valley,,Chile
VML,California,Russian River Valley,US
WildAire,Oregon,Rogue Valley,US
Ottella,Lombardy,Lugana,Italy
Perescuma,Alentejano,,Portugal
Pratello,Lombardy,Lugana,Italy
Quinta da Alorna,Tejo,,Portugal
Quinta do Monte d'Oiro,Lisboa,,Portugal
Ravenswood,California,Napa Valley,US
Renteria,California,Mount Veeder,US
Seghesio,California,Sonoma County,US
Doubleback,Washington,Walla Walla Valley (WA),US
Nickel & Nickel,California,Oakville,US
Von Strasser,California,Diamond Mountain District,US
Sirius,California,Mendocino County,US
Stottle,Washington,Yakima Valley,US
Dr. Loosen & J. Christopher,Oregon,Willamette Valley,US
Gary Farrell,California,Santa Maria Valley,US
Markus Molitor,Mosel,,Germany
King Estate,Oregon,Oregon,US
Failla,California,Sonoma Coast,US
Chateau Chevalier,California,Spring Mountain District,US
Acordeón,Mendoza Province,Mendoza,Argentina
Château d'Arlay,France Other,Côtes du Jura,France
Drouet Frères,Loire Valley,Sancerre,France
Miracle Valley,Virginia,Virginia,US
Prince Michel,Virginia,Virginia,US
Raymond,California,California,US
Thacher,California,Paso Robles,US
Tiago Teles,Bairrada,,Portugal
Tower 15,California,Paso Robles,US
Montpellier,California,California,US
Natale Verga,Tuscany,Chianti Classico,Italy
Marquis de la Tour,France Other,Vin Mousseux,France
Quinta da Maritávora,Port,,Portugal
