id,name,created_at,modified_at
376,Barbera-Nebbiolo,4/1/2018,4/1/2018
377,Prieto Picudo,4/1/2018,4/1/2018
378,Gaglioppo,4/1/2018,4/1/2018
379,Tokay,4/1/2018,4/1/2018
380,Sacy,4/1/2018,4/1/2018
381,Piedirosso,4/1/2018,4/1/2018
382,Piquepoul Blanc,4/1/2018,4/1/2018
383,Mansois,4/1/2018,4/1/2018
384,Chardonnay-Sauvignon,4/1/2018,4/1/2018
385,Tempranillo-Garnacha,4/1/2018,4/1/2018
386,Carmenère-Cabernet Sauvignon,4/1/2018,4/1/2018
387,Chenin Blanc-Viognier,4/1/2018,4/1/2018
388,Susumaniello,4/1/2018,4/1/2018
389,Vitovska,4/1/2018,4/1/2018
390,Orange Muscat,4/1/2018,4/1/2018
391,Grauburgunder,4/1/2018,4/1/2018
392,Carignane,4/1/2018,4/1/2018
393,Moscatel Roxo,4/1/2018,4/1/2018
394,Tannat-Merlot,4/1/2018,4/1/2018
395,Nerello Cappuccio,4/1/2018,4/1/2018
396,Counoise,4/1/2018,4/1/2018
397,Macabeo,4/1/2018,4/1/2018
398,Mazuelo,4/1/2018,4/1/2018
399,Sauvignon-Sémillon,4/1/2018,4/1/2018
400,Tinta del Pais,4/1/2018,4/1/2018
401,Vranec,4/1/2018,4/1/2018
402,Mavrud,4/1/2018,4/1/2018
403,Cesanese d'Affile,4/1/2018,4/1/2018
404,Moscato Giallo,4/1/2018,4/1/2018
405,Debit,4/1/2018,4/1/2018
406,Verdil,4/1/2018,4/1/2018
407,Cabernet,4/1/2018,4/1/2018
408,Verduzzo Friulano ,4/1/2018,4/1/2018
409,Treixadura,4/1/2018,4/1/2018
410,Loin de l'Oeil,4/1/2018,4/1/2018
411,Coda di Volpe,4/1/2018,4/1/2018
412,Grenache-Mourvèdre,4/1/2018,4/1/2018
413,Forcallà,4/1/2018,4/1/2018
414,Viura-Verdejo,4/1/2018,4/1/2018
415,Bombino Bianco,4/1/2018,4/1/2018
416,Pinot-Chardonnay,4/1/2018,4/1/2018
417,Syrah-Tempranillo,4/1/2018,4/1/2018
418,Cabernet Sauvignon-Barbera,4/1/2018,4/1/2018
419,Merlot-Cabernet,4/1/2018,4/1/2018
420,Muscat d'Alexandrie,4/1/2018,4/1/2018
421,Jaen,4/1/2018,4/1/2018
422,Tinta del Toro,4/1/2018,4/1/2018
423,Timorasso,4/1/2018,4/1/2018
424,Pigato,4/1/2018,4/1/2018
425,Sangiovese-Cabernet Sauvignon,4/1/2018,4/1/2018
426,Shiraz-Cabernet,4/1/2018,4/1/2018
427,Viognier-Gewürztraminer,4/1/2018,4/1/2018
428,Prunelard,4/1/2018,4/1/2018
429,Sauvignon Blanc-Chenin Blanc,4/1/2018,4/1/2018
430,Gros Plant,4/1/2018,4/1/2018
431,Malbec-Petit Verdot,4/1/2018,4/1/2018
