id,name,created_at,modified_at
572,Carignan-Syrah,4/1/2018,4/1/2018
573,Bombino Nero,4/1/2018,4/1/2018
574,Chardonnay-Riesling,4/1/2018,4/1/2018
575,Malagouzia-Chardonnay,4/1/2018,4/1/2018
576,Mavrotragano,4/1/2018,4/1/2018
577,Bovale,4/1/2018,4/1/2018
578,Frankovka,4/1/2018,4/1/2018
579,Shiraz-Roussanne,4/1/2018,4/1/2018
580,Cabernet-Shiraz,4/1/2018,4/1/2018
581,Syrah-Carignan,4/1/2018,4/1/2018
582,Elbling,4/1/2018,4/1/2018
583,Gragnano,4/1/2018,4/1/2018
584,Garnacha Blend,4/1/2018,4/1/2018
585,Pinot Blanc-Chardonnay,4/1/2018,4/1/2018
586,Schwartzriesling,4/1/2018,4/1/2018
587,Petit Meslier,4/1/2018,4/1/2018
588,Bastardo,4/1/2018,4/1/2018
589,Vidadillo,4/1/2018,4/1/2018
590,Misket,4/1/2018,4/1/2018
591,Chardonnay Weissburgunder,4/1/2018,4/1/2018
592,Other,4/1/2018,4/1/2018
593,Robola,4/1/2018,4/1/2018
594,Merlot-Shiraz,4/1/2018,4/1/2018
595,Malagouzia,4/1/2018,4/1/2018
596,Folle Blanche,4/1/2018,4/1/2018
597,Malbec Blend,4/1/2018,4/1/2018
598,Merlot-Syrah,4/1/2018,4/1/2018
599,Tamianka,4/1/2018,4/1/2018
600,Cabernet Pfeffer,4/1/2018,4/1/2018
601,Morio Muskat,4/1/2018,4/1/2018
602,Rabigato,4/1/2018,4/1/2018
603,Babić,4/1/2018,4/1/2018
604,Roviello,4/1/2018,4/1/2018
605,Yapincak,4/1/2018,4/1/2018
606,Sauvignonasse,4/1/2018,4/1/2018
607,Viognier-Marsanne,4/1/2018,4/1/2018
608,Mandilaria,4/1/2018,4/1/2018
609,Meseguera,4/1/2018,4/1/2018
610,Alvarinho-Chardonnay,4/1/2018,4/1/2018
611,Saperavi-Merlot,4/1/2018,4/1/2018
612,Pinot Blanc-Viognier,4/1/2018,4/1/2018
613,Teroldego Rotaliano,4/1/2018,4/1/2018
614,Biancu Gentile,4/1/2018,4/1/2018
615,Garnacha-Tempranillo,4/1/2018,4/1/2018
616,Xinisteri,4/1/2018,4/1/2018
617,Sauvignon Blanc-Sauvignon Gris,4/1/2018,4/1/2018
618,Trebbiano di Lugana,4/1/2018,4/1/2018
619,Albarossa,4/1/2018,4/1/2018
620,Ryzlink Rýnský,4/1/2018,4/1/2018
621,Verdeca,4/1/2018,4/1/2018
622,Cabernet Sauvignon Grenache,4/1/2018,4/1/2018
623,Tămâioasă Românească,4/1/2018,4/1/2018
624,Black Monukka,4/1/2018,4/1/2018
625,Merlot-Grenache,4/1/2018,4/1/2018
626,Vranac,4/1/2018,4/1/2018
627,Tempranillo-Syrah,4/1/2018,4/1/2018
628,Chardonel,4/1/2018,4/1/2018
629,Silvaner-Traminer,4/1/2018,4/1/2018
630,Uvalino,4/1/2018,4/1/2018
631,Merseguera-Sauvignon Blanc,4/1/2018,4/1/2018
632,Cabernet-Malbec,4/1/2018,4/1/2018
633,Boğazkere,4/1/2018,4/1/2018
634,Gelber Traminer,4/1/2018,4/1/2018
635,Vermentino Nero,4/1/2018,4/1/2018
636,Cayuga,4/1/2018,4/1/2018
637,Tinta Amarela,4/1/2018,4/1/2018
638,Tinta Negra Mole,4/1/2018,4/1/2018
639,Moscato Rosa,4/1/2018,4/1/2018
640,Chelois,4/1/2018,4/1/2018
641,Sauvignon Blanc-Assyrtiko,4/1/2018,4/1/2018
